"","dates","machineID","volt","rotate","pressure","vibration","dates.errors","type1s","type2s","type3s","type4s","type5s","dates.failures","comp1s","comp2s","comp3s","comp4s"
"15","2015-07-01 15:00:00","1","162.5746","458.2542","104.87153","40.89426","2015-07-01 15:00:00","0","0","1","1","0","2015-07-01 15:00:00","0","0","0","0"
"16","2015-07-01 16:00:00","1","158.7512","435.9813","92.53133","36.63583","2015-07-01 16:00:00","0","0","0","0","0","2015-07-01 16:00:00","0","0","0","0"
"17","2015-07-01 17:00:00","1","169.4285","460.355","94.23995","39.8851","2015-07-01 17:00:00","0","0","0","0","0","2015-07-01 17:00:00","0","0","0","0"
"18","2015-07-01 18:00:00","1","172.3055","431.2661","93.69161","46.3057","2015-07-01 18:00:00","0","0","1","0","0","2015-07-01 18:00:00","0","0","0","0"
"19","2015-07-01 19:00:00","1","165.8047","484.7737","105.88107","40.41069","2015-07-01 19:00:00","0","0","0","0","1","2015-07-01 19:00:00","0","0","0","0"
"20","2015-07-01 20:00:00","1","181.0808","566.0762","99.49282","43.44889","2015-07-01 20:00:00","0","0","0","0","0","2015-07-01 20:00:00","0","0","0","0"
"21","2015-07-01 21:00:00","1","188.6082","471.4822","91.64591","47.91336","2015-07-01 21:00:00","0","0","0","0","0","2015-07-01 21:00:00","0","0","0","0"
"22","2015-07-01 22:00:00","1","158.3057","408.101","93.36469","45.30867","2015-07-01 22:00:00","2","0","0","0","0","2015-07-01 22:00:00","0","0","0","0"
"23","2015-07-01 23:00:00","1","173.9757","449.9515","74.03057","41.17849","2015-07-01 23:00:00","0","0","2","0","0","2015-07-01 23:00:00","0","0","0","0"
"24","2015-07-02 00:00:00","1","170.8872","456.1298","94.56809","47.86065","2015-07-02 00:00:00","0","0","0","0","0","2015-07-02 00:00:00","0","0","0","0"
"25","2015-07-02 01:00:00","1","152.9023","539.4446","104.47334","45.54402","2015-07-02 01:00:00","0","0","0","0","0","2015-07-02 01:00:00","0","0","0","0"
"26","2015-07-02 02:00:00","1","191.0786","498.7955","95.06766","34.51692","2015-07-02 02:00:00","0","0","0","0","0","2015-07-02 02:00:00","0","0","0","0"
"27","2015-07-02 03:00:00","1","176.1652","520.3202","97.53608","33.8245","2015-07-02 03:00:00","1","0","0","1","0","2015-07-02 03:00:00","0","0","0","0"
"28","2015-07-02 04:00:00","1","186.9949","488.5844","94.39232","46.04941","2015-07-02 04:00:00","0","0","0","0","0","2015-07-02 04:00:00","0","0","0","0"
"29","2015-07-02 05:00:00","1","161.8496","473.7067","98.33851","34.09446","2015-07-02 05:00:00","0","0","0","0","0","2015-07-02 05:00:00","0","0","0","0"
"30","2015-07-02 06:00:00","1","166.8093","457.4515","120.37037","27.90986","2015-07-02 06:00:00","2","10","10","1","4","2015-07-02 06:00:00","4","4","2","2"
"31","2015-07-02 07:00:00","1","166.4161","397.754","107.18186","45.65913","2015-07-02 07:00:00","0","0","0","0","0","2015-07-02 07:00:00","0","0","0","0"
"32","2015-07-02 08:00:00","1","178.8327","442.6377","86.07204","38.35057","2015-07-02 08:00:00","0","1","0","0","0","2015-07-02 08:00:00","0","0","0","0"
"33","2015-07-02 09:00:00","1","173.5741","488.3812","104.30597","47.23004","2015-07-02 09:00:00","0","0","0","0","0","2015-07-02 09:00:00","0","0","0","0"
"34","2015-07-02 10:00:00","1","190.5288","433.6002","107.82248","28.99038","2015-07-02 10:00:00","0","0","1","0","0","2015-07-02 10:00:00","0","0","0","0"
"35","2015-07-02 11:00:00","1","165.1482","427.2648","111.77881","47.26029","2015-07-02 11:00:00","0","0","0","0","0","2015-07-02 11:00:00","0","0","0","0"
"36","2015-07-02 12:00:00","1","166.913","500.4468","105.44002","38.11882","2015-07-02 12:00:00","0","0","0","0","0","2015-07-02 12:00:00","0","0","0","0"
"37","2015-07-02 13:00:00","1","158.1484","444.6199","107.17483","45.31631","2015-07-02 13:00:00","0","0","0","0","0","2015-07-02 13:00:00","0","0","0","0"
"38","2015-07-02 14:00:00","1","165.4871","409.0075","81.78126","40.64137","2015-07-02 14:00:00","0","0","0","0","0","2015-07-02 14:00:00","0","0","0","0"
"39","2015-07-02 15:00:00","1","164.0179","398.8797","97.13865","34.95111","2015-07-02 15:00:00","0","0","0","0","0","2015-07-02 15:00:00","0","0","0","0"
"40","2015-07-02 16:00:00","1","197.1456","444.2971","112.90588","47.71734","2015-07-02 16:00:00","0","0","0","0","0","2015-07-02 16:00:00","0","0","0","0"
"41","2015-07-02 17:00:00","1","153.2648","430.094","101.27612","41.11039","2015-07-02 17:00:00","0","0","0","0","0","2015-07-02 17:00:00","0","0","0","0"
"42","2015-07-02 18:00:00","1","185.5507","432.8407","88.39594","44.34888","2015-07-02 18:00:00","0","0","0","0","0","2015-07-02 18:00:00","0","0","0","0"
"43","2015-07-02 19:00:00","1","187.6036","531.5373","94.15392","39.75391","2015-07-02 19:00:00","0","0","1","0","0","2015-07-02 19:00:00","0","0","0","0"
"44","2015-07-02 20:00:00","1","156.9882","530.0515","125.34391","30.55826","2015-07-02 20:00:00","0","0","0","0","0","2015-07-02 20:00:00","0","0","0","0"
"45","2015-07-02 21:00:00","1","158.9545","443.2056","106.70331","39.86756","2015-07-02 21:00:00","0","0","0","0","0","2015-07-02 21:00:00","0","0","0","0"
"46","2015-07-02 22:00:00","1","164.4771","470.0564","110.48556","36.60708","2015-07-02 22:00:00","0","0","0","0","0","2015-07-02 22:00:00","0","0","0","0"
"47","2015-07-02 23:00:00","1","179.4249","402.6922","115.40489","38.93226","2015-07-02 23:00:00","0","0","1","0","0","2015-07-02 23:00:00","0","0","0","0"
"48","2015-07-03 00:00:00","1","163.742","451.7063","91.84692","44.5555","2015-07-03 00:00:00","0","0","0","0","0","2015-07-03 00:00:00","0","0","0","0"
"49","2015-07-03 01:00:00","1","153.5599","423.1345","77.67729","44.1051","2015-07-03 01:00:00","0","0","0","0","0","2015-07-03 01:00:00","0","0","0","0"
"50","2015-07-03 02:00:00","1","187.2324","460.6173","101.26561","32.42514","2015-07-03 02:00:00","0","0","0","0","0","2015-07-03 02:00:00","0","0","0","0"
"51","2015-07-03 03:00:00","1","171.6529","469.1693","106.20472","43.5945","2015-07-03 03:00:00","0","0","0","0","0","2015-07-03 03:00:00","0","0","0","0"
"52","2015-07-03 04:00:00","1","152.3715","475.2864","102.94475","40.13728","2015-07-03 04:00:00","0","0","0","0","0","2015-07-03 04:00:00","0","0","0","0"
"53","2015-07-03 05:00:00","1","182.5713","448.4672","90.85151","47.82055","2015-07-03 05:00:00","0","0","0","0","0","2015-07-03 05:00:00","0","0","0","0"
"54","2015-07-03 06:00:00","1","167.4243","323.8935","101.16114","46.72261","2015-07-03 06:00:00","6","6","6","3","5","2015-07-03 06:00:00","2","10","1","4"
"55","2015-07-03 07:00:00","1","172.1786","466.6239","96.90121","48.01934","2015-07-03 07:00:00","0","0","0","0","0","2015-07-03 07:00:00","0","0","0","0"
"56","2015-07-03 08:00:00","1","162.7986","414.6312","97.67831","40.05101","2015-07-03 08:00:00","0","0","0","0","0","2015-07-03 08:00:00","0","0","0","0"
"57","2015-07-03 09:00:00","1","183.0579","359.7111","89.8035","34.30682","2015-07-03 09:00:00","0","0","0","0","0","2015-07-03 09:00:00","0","0","0","0"
"58","2015-07-03 10:00:00","1","159.0439","459.9066","111.00964","41.08412","2015-07-03 10:00:00","0","0","0","0","0","2015-07-03 10:00:00","0","0","0","0"
"59","2015-07-03 11:00:00","1","166.8573","444.8954","109.54389","40.6399","2015-07-03 11:00:00","0","0","0","0","0","2015-07-03 11:00:00","0","0","0","0"
"60","2015-07-03 12:00:00","1","185.9839","365.677","101.78029","37.11886","2015-07-03 12:00:00","0","0","1","0","1","2015-07-03 12:00:00","0","0","0","0"
"61","2015-07-03 13:00:00","1","192.16","421.6119","99.01632","42.08033","2015-07-03 13:00:00","0","0","0","0","0","2015-07-03 13:00:00","0","0","0","0"
"62","2015-07-03 14:00:00","1","159.6165","464.0671","83.82797","43.53444","2015-07-03 14:00:00","0","0","0","0","0","2015-07-03 14:00:00","0","0","0","0"
"63","2015-07-03 15:00:00","1","175.0615","522.1382","95.20611","37.74243","2015-07-03 15:00:00","0","0","0","0","0","2015-07-03 15:00:00","0","0","0","0"
"64","2015-07-03 16:00:00","1","149.9202","458.2883","108.43549","37.15766","2015-07-03 16:00:00","0","0","0","0","0","2015-07-03 16:00:00","0","0","0","0"
"65","2015-07-03 17:00:00","1","162.3352","466.8939","117.45228","52.24116","2015-07-03 17:00:00","0","0","0","0","0","2015-07-03 17:00:00","0","0","0","0"
"66","2015-07-03 18:00:00","1","181.6097","355.1056","108.70331","38.74805","2015-07-03 18:00:00","0","1","0","0","0","2015-07-03 18:00:00","0","0","0","0"
"67","2015-07-03 19:00:00","1","150.9269","486.1408","100.85803","37.13946","2015-07-03 19:00:00","0","0","0","0","0","2015-07-03 19:00:00","0","0","0","0"
"68","2015-07-03 20:00:00","1","170.9445","524.0826","122.25495","36.1799","2015-07-03 20:00:00","0","0","1","0","0","2015-07-03 20:00:00","0","0","0","0"
"69","2015-07-03 21:00:00","1","171.833","503.0051","94.28785","33.90047","2015-07-03 21:00:00","1","0","0","0","0","2015-07-03 21:00:00","0","0","0","0"
"70","2015-07-03 22:00:00","1","179.3807","429.2952","100.33378","36.74862","2015-07-03 22:00:00","0","0","0","0","0","2015-07-03 22:00:00","0","0","0","0"
"71","2015-07-03 23:00:00","1","157.3885","509.5538","95.0779","39.6524","2015-07-03 23:00:00","0","0","0","0","0","2015-07-03 23:00:00","0","0","0","0"
"72","2015-07-04 00:00:00","1","161.5365","492.9142","94.98434","44.29458","2015-07-04 00:00:00","0","0","0","0","0","2015-07-04 00:00:00","0","0","0","0"
"73","2015-07-04 01:00:00","1","185.8272","506.5604","90.842","41.8631","2015-07-04 01:00:00","0","0","1","0","0","2015-07-04 01:00:00","0","0","0","0"
"74","2015-07-04 02:00:00","1","163.2373","442.6703","101.49282","38.21696","2015-07-04 02:00:00","0","0","0","0","0","2015-07-04 02:00:00","0","0","0","0"
"75","2015-07-04 03:00:00","1","172.8229","455.7368","103.10546","37.3314","2015-07-04 03:00:00","0","0","0","0","0","2015-07-04 03:00:00","0","0","0","0"
"76","2015-07-04 04:00:00","1","185.4895","438.0353","95.01503","41.46301","2015-07-04 04:00:00","0","0","0","0","0","2015-07-04 04:00:00","0","0","0","0"
"77","2015-07-04 05:00:00","1","161.6797","399.9283","92.84166","40.69823","2015-07-04 05:00:00","0","1","0","0","0","2015-07-04 05:00:00","0","0","0","0"
"78","2015-07-04 06:00:00","1","171.7827","455.2679","99.83918","40.62513","2015-07-04 06:00:00","5","7","7","1","2","2015-07-04 06:00:00","6","6","3","5"
"79","2015-07-04 07:00:00","1","168.5917","486.1512","105.70577","35.30133","2015-07-04 07:00:00","0","0","0","0","0","2015-07-04 07:00:00","0","0","0","0"
"80","2015-07-04 08:00:00","1","150.6377","430.8215","102.64148","43.55126","2015-07-04 08:00:00","1","0","0","0","0","2015-07-04 08:00:00","0","0","0","0"
"81","2015-07-04 09:00:00","1","164.0575","512.5279","88.9322","36.21809","2015-07-04 09:00:00","1","0","0","0","0","2015-07-04 09:00:00","0","0","0","0"
"82","2015-07-04 10:00:00","1","195.2116","458.7361","96.63217","38.90041","2015-07-04 10:00:00","0","0","0","0","0","2015-07-04 10:00:00","0","0","0","0"
"83","2015-07-04 11:00:00","1","190.5061","467.7676","92.31206","30.49535","2015-07-04 11:00:00","0","1","0","0","0","2015-07-04 11:00:00","0","0","0","0"
"84","2015-07-04 12:00:00","1","169.9795","437.6494","105.08713","43.59429","2015-07-04 12:00:00","0","0","0","0","0","2015-07-04 12:00:00","0","0","0","0"
"85","2015-07-04 13:00:00","1","144.7608","453.024","74.53816","49.47752","2015-07-04 13:00:00","0","0","0","0","0","2015-07-04 13:00:00","0","0","0","0"
"86","2015-07-04 14:00:00","1","181.9095","536.7607","107.2738","49.49296","2015-07-04 14:00:00","0","1","0","0","0","2015-07-04 14:00:00","0","0","0","0"
"87","2015-07-04 15:00:00","1","153.6251","368.3871","101.25322","38.06443","2015-07-04 15:00:00","0","0","0","0","0","2015-07-04 15:00:00","0","0","0","0"
"88","2015-07-04 16:00:00","1","165.3411","490.5058","114.00645","36.93576","2015-07-04 16:00:00","0","0","0","0","0","2015-07-04 16:00:00","0","0","0","0"
"89","2015-07-04 17:00:00","1","155.3382","421.5937","91.32347","32.27052","2015-07-04 17:00:00","0","0","0","0","0","2015-07-04 17:00:00","0","0","0","0"
"90","2015-07-04 18:00:00","1","168.7095","418.308","89.627","35.94952","2015-07-04 18:00:00","0","0","0","0","0","2015-07-04 18:00:00","0","0","0","0"
"91","2015-07-04 19:00:00","1","169.4903","353.5441","100.05778","35.82164","2015-07-04 19:00:00","0","0","0","0","0","2015-07-04 19:00:00","0","0","0","0"
"92","2015-07-04 20:00:00","1","158.0485","392.0148","88.55277","35.79172","2015-07-04 20:00:00","0","0","0","1","0","2015-07-04 20:00:00","0","0","0","0"
"93","2015-07-04 21:00:00","1","177.3838","416.5324","107.87021","40.01857","2015-07-04 21:00:00","0","1","0","0","0","2015-07-04 21:00:00","0","0","0","0"
"94","2015-07-04 22:00:00","1","154.419","426.0473","109.66631","34.82296","2015-07-04 22:00:00","0","0","0","0","0","2015-07-04 22:00:00","0","0","0","0"
"95","2015-07-04 23:00:00","1","176.6354","365.7317","95.00165","44.24726","2015-07-04 23:00:00","0","0","0","0","0","2015-07-04 23:00:00","0","0","0","0"
"96","2015-07-05 00:00:00","1","157.7962","440.9727","96.66038","38.45552","2015-07-05 00:00:00","0","0","1","0","0","2015-07-05 00:00:00","0","0","0","0"
"97","2015-07-05 01:00:00","1","174.8302","490.4321","111.84979","33.94946","2015-07-05 01:00:00","0","0","0","0","0","2015-07-05 01:00:00","0","0","0","0"
"98","2015-07-05 02:00:00","1","173.6486","504.0173","93.9449","38.06353","2015-07-05 02:00:00","0","0","0","1","0","2015-07-05 02:00:00","0","0","0","0"
"99","2015-07-05 03:00:00","1","146.3894","443.5753","103.32053","41.44322","2015-07-05 03:00:00","0","0","0","0","0","2015-07-05 03:00:00","0","0","0","0"
"100","2015-07-05 04:00:00","1","166.115","398.1764","112.28821","36.07233","2015-07-05 04:00:00","1","0","1","0","0","2015-07-05 04:00:00","0","0","0","0"
"101","2015-07-05 05:00:00","1","154.4804","509.3692","101.91428","42.68311","2015-07-05 05:00:00","0","0","0","0","0","2015-07-05 05:00:00","0","0","0","0"
"102","2015-07-05 06:00:00","1","159.0194","461.8673","122.31038","38.9407","2015-07-05 06:00:00","6","8","7","4","1","2015-07-05 06:00:00","5","7","1","2"
"103","2015-07-05 07:00:00","1","176.4421","416.7877","79.58406","39.81404","2015-07-05 07:00:00","0","0","0","0","0","2015-07-05 07:00:00","0","0","0","0"
"104","2015-07-05 08:00:00","1","158.3946","481.4403","121.7635","40.32114","2015-07-05 08:00:00","0","0","0","0","0","2015-07-05 08:00:00","0","0","0","0"
"105","2015-07-05 09:00:00","1","178.2004","506.7057","91.24414","30.73055","2015-07-05 09:00:00","0","0","0","0","0","2015-07-05 09:00:00","0","0","0","0"
"106","2015-07-05 10:00:00","1","163.5364","499.1259","106.34073","41.09914","2015-07-05 10:00:00","0","0","0","0","0","2015-07-05 10:00:00","0","0","0","0"
"107","2015-07-05 11:00:00","1","182.2436","463.6086","95.59464","40.05859","2015-07-05 11:00:00","0","0","0","0","0","2015-07-05 11:00:00","0","0","0","0"
"108","2015-07-05 12:00:00","1","182.1363","427.9497","93.68631","39.74444","2015-07-05 12:00:00","0","1","1","0","0","2015-07-05 12:00:00","0","0","0","0"
"109","2015-07-05 13:00:00","1","191.4502","451.8688","101.70745","39.73767","2015-07-05 13:00:00","0","0","0","0","0","2015-07-05 13:00:00","0","0","0","0"
"110","2015-07-05 14:00:00","1","223.4116","459.1693","103.349","43.57177","2015-07-05 14:00:00","0","0","0","0","0","2015-07-05 14:00:00","0","0","0","0"
"111","2015-07-05 15:00:00","1","173.5025","504.8202","96.0278","42.78292","2015-07-05 15:00:00","1","0","0","0","0","2015-07-05 15:00:00","0","0","0","0"
"112","2015-07-05 16:00:00","1","179.6556","439.7066","91.43654","33.68875","2015-07-05 16:00:00","0","0","0","0","0","2015-07-05 16:00:00","0","0","0","0"
"113","2015-07-05 17:00:00","1","184.8691","363.151","95.2985","34.67839","2015-07-05 17:00:00","0","0","0","0","0","2015-07-05 17:00:00","0","0","0","0"
"114","2015-07-05 18:00:00","1","191.6127","430.768","94.91335","39.61891","2015-07-05 18:00:00","0","0","0","0","0","2015-07-05 18:00:00","0","0","0","0"
"115","2015-07-05 19:00:00","1","186.3133","396.2429","92.47964","34.74589","2015-07-05 19:00:00","0","0","0","0","0","2015-07-05 19:00:00","0","0","0","0"
"116","2015-07-05 20:00:00","1","150.4654","406.5608","96.13587","37.56211","2015-07-05 20:00:00","0","0","0","0","0","2015-07-05 20:00:00","0","0","0","0"
"117","2015-07-05 21:00:00","1","171.2418","414.3213","92.23825","38.39865","2015-07-05 21:00:00","0","0","0","0","0","2015-07-05 21:00:00","0","0","0","0"
"118","2015-07-05 22:00:00","1","184.4233","462.1046","97.64014","37.30836","2015-07-05 22:00:00","0","0","0","0","0","2015-07-05 22:00:00","0","0","0","0"
"119","2015-07-05 23:00:00","1","190.063","461.5814","95.78879","44.3054","2015-07-05 23:00:00","0","0","0","0","0","2015-07-05 23:00:00","0","0","0","0"
"120","2015-07-06 00:00:00","1","165.365","455.9461","106.29897","40.4308","2015-07-06 00:00:00","0","0","0","1","0","2015-07-06 00:00:00","0","0","0","0"
"121","2015-07-06 01:00:00","1","171.688","530.9291","91.32053","36.38624","2015-07-06 01:00:00","0","0","1","0","0","2015-07-06 01:00:00","0","0","0","0"
"122","2015-07-06 02:00:00","1","139.9791","465.5163","104.03031","41.78983","2015-07-06 02:00:00","0","0","0","0","0","2015-07-06 02:00:00","0","0","0","0"
"123","2015-07-06 03:00:00","1","155.1157","407.1948","103.89806","35.03523","2015-07-06 03:00:00","0","0","0","0","0","2015-07-06 03:00:00","0","0","0","0"
"124","2015-07-06 04:00:00","1","198.6311","539.7926","91.23187","43.77501","2015-07-06 04:00:00","0","0","0","0","0","2015-07-06 04:00:00","0","0","0","0"
"125","2015-07-06 05:00:00","1","154.7575","472.6672","100.33906","44.33978","2015-07-06 05:00:00","0","0","0","0","0","2015-07-06 05:00:00","0","0","0","0"
"126","2015-07-06 06:00:00","1","186.8564","472.214","93.55305","32.39392","2015-07-06 06:00:00","3","9","9","2","2","2015-07-06 06:00:00","6","7","3","1"
"127","2015-07-06 07:00:00","1","161.888","489.1289","102.90743","32.53499","2015-07-06 07:00:00","0","0","0","0","0","2015-07-06 07:00:00","0","0","0","0"
"128","2015-07-06 08:00:00","1","168.5947","456.0285","105.36132","47.05128","2015-07-06 08:00:00","0","0","0","0","0","2015-07-06 08:00:00","0","0","0","0"
"129","2015-07-06 09:00:00","1","169.0136","463.4532","101.5762","45.48903","2015-07-06 09:00:00","0","0","0","0","0","2015-07-06 09:00:00","0","0","0","0"
"130","2015-07-06 10:00:00","1","160.9381","434.8809","101.80143","36.17078","2015-07-06 10:00:00","0","0","0","0","0","2015-07-06 10:00:00","0","0","0","0"
"131","2015-07-06 11:00:00","1","150.6963","444.33","93.41504","49.37476","2015-07-06 11:00:00","1","0","0","0","0","2015-07-06 11:00:00","0","0","0","0"
"132","2015-07-06 12:00:00","1","185.5707","398.0261","92.08039","37.16652","2015-07-06 12:00:00","0","0","0","0","0","2015-07-06 12:00:00","0","0","0","0"
"133","2015-07-06 13:00:00","1","155.6757","473.6953","95.5264","34.12669","2015-07-06 13:00:00","0","0","0","0","0","2015-07-06 13:00:00","0","0","0","0"
"134","2015-07-06 14:00:00","1","167.2506","356.6827","112.04391","44.28777","2015-07-06 14:00:00","0","0","0","0","0","2015-07-06 14:00:00","0","0","0","0"
"135","2015-07-06 15:00:00","1","167.1805","457.1745","99.30963","49.03456","2015-07-06 15:00:00","0","0","0","0","0","2015-07-06 15:00:00","0","0","0","0"
"136","2015-07-06 16:00:00","1","185.637","459.5523","85.4701","32.76264","2015-07-06 16:00:00","0","0","0","0","0","2015-07-06 16:00:00","0","0","0","0"
"137","2015-07-06 17:00:00","1","162.6599","504.0046","98.20281","42.23578","2015-07-06 17:00:00","0","0","0","0","0","2015-07-06 17:00:00","0","0","0","0"
"138","2015-07-06 18:00:00","1","178.0415","493.0628","87.54491","33.41558","2015-07-06 18:00:00","0","0","0","0","0","2015-07-06 18:00:00","0","0","0","0"
"139","2015-07-06 19:00:00","1","170.7973","433.7017","100.77631","44.18662","2015-07-06 19:00:00","1","0","0","1","0","2015-07-06 19:00:00","0","0","0","0"
"140","2015-07-06 20:00:00","1","166.1699","404.2362","87.66246","44.56958","2015-07-06 20:00:00","0","0","0","0","0","2015-07-06 20:00:00","0","0","0","0"
"141","2015-07-06 21:00:00","1","179.3087","402.2157","99.52939","39.24671","2015-07-06 21:00:00","0","0","0","0","0","2015-07-06 21:00:00","0","0","0","0"
"142","2015-07-06 22:00:00","1","146.9191","487.2259","93.52841","41.89657","2015-07-06 22:00:00","0","0","0","0","0","2015-07-06 22:00:00","0","0","0","0"
"143","2015-07-06 23:00:00","1","169.9944","447.8275","93.31388","40.53746","2015-07-06 23:00:00","0","0","0","0","0","2015-07-06 23:00:00","0","0","0","0"
"144","2015-07-07 00:00:00","1","165.1992","465.1278","102.63224","45.15075","2015-07-07 00:00:00","0","0","0","0","0","2015-07-07 00:00:00","0","0","0","0"
"145","2015-07-07 01:00:00","1","175.6011","426.6339","82.77959","42.70652","2015-07-07 01:00:00","0","0","0","0","0","2015-07-07 01:00:00","0","0","0","0"
"146","2015-07-07 02:00:00","1","154.3731","471.6804","107.71106","49.22177","2015-07-07 02:00:00","0","0","0","0","0","2015-07-07 02:00:00","0","0","0","0"
"147","2015-07-07 03:00:00","1","176.4608","404.0419","87.43252","44.80319","2015-07-07 03:00:00","0","0","0","0","0","2015-07-07 03:00:00","0","0","0","0"
"148","2015-07-07 04:00:00","1","157.1252","503.8545","111.85412","41.69139","2015-07-07 04:00:00","0","0","0","0","0","2015-07-07 04:00:00","0","0","0","0"
"149","2015-07-07 05:00:00","1","167.5254","514.2522","101.99673","37.693","2015-07-07 05:00:00","0","0","0","0","1","2015-07-07 05:00:00","0","0","0","0"
"150","2015-07-07 06:00:00","1","177.027","439.4363","102.67559","39.71341","2015-07-07 06:00:00","5","4","4","4","0","2015-07-07 06:00:00","3","9","2","2"
"151","2015-07-07 07:00:00","1","174.2004","433.8838","99.97001","36.96801","2015-07-07 07:00:00","0","0","0","1","0","2015-07-07 07:00:00","0","0","0","0"
"152","2015-07-07 08:00:00","1","158.1137","465.0318","95.43738","41.44404","2015-07-07 08:00:00","0","0","0","0","0","2015-07-07 08:00:00","0","0","0","0"
"153","2015-07-07 09:00:00","1","132.4277","434.6015","89.65281","31.26669","2015-07-07 09:00:00","1","1","0","0","0","2015-07-07 09:00:00","0","0","0","0"
"154","2015-07-07 10:00:00","1","185.434","431.5696","104.2565","43.21561","2015-07-07 10:00:00","0","0","0","0","0","2015-07-07 10:00:00","0","0","0","0"
"155","2015-07-07 11:00:00","1","176.2591","455.2091","96.27674","37.81616","2015-07-07 11:00:00","0","1","0","0","0","2015-07-07 11:00:00","0","0","0","0"
"156","2015-07-07 12:00:00","1","177.6815","546.6635","114.51054","49.39669","2015-07-07 12:00:00","0","0","0","0","0","2015-07-07 12:00:00","0","0","0","0"
"157","2015-07-07 13:00:00","1","179.906","480.0076","108.4066","40.31341","2015-07-07 13:00:00","0","0","0","1","0","2015-07-07 13:00:00","0","0","0","0"
"158","2015-07-07 14:00:00","1","198.2571","472.2278","118.63744","39.70618","2015-07-07 14:00:00","0","0","0","0","0","2015-07-07 14:00:00","0","0","0","0"
"159","2015-07-07 15:00:00","1","173.3331","429.841","75.14641","41.20304","2015-07-07 15:00:00","0","0","0","0","0","2015-07-07 15:00:00","0","0","0","0"
"160","2015-07-07 16:00:00","1","173.7504","404.0501","101.24151","46.12992","2015-07-07 16:00:00","0","1","0","0","0","2015-07-07 16:00:00","0","0","0","0"
"161","2015-07-07 17:00:00","1","172.2719","415.7322","104.39256","51.61148","2015-07-07 17:00:00","0","0","0","0","0","2015-07-07 17:00:00","0","0","0","0"
"162","2015-07-07 18:00:00","1","163.1391","431.0185","88.54785","35.99766","2015-07-07 18:00:00","0","1","1","0","0","2015-07-07 18:00:00","0","0","0","0"
"163","2015-07-07 19:00:00","1","168.9645","429.1042","109.50374","35.98857","2015-07-07 19:00:00","0","0","0","0","0","2015-07-07 19:00:00","0","0","0","0"
"164","2015-07-07 20:00:00","1","165.5092","451.6676","93.92838","40.28256","2015-07-07 20:00:00","0","0","0","0","0","2015-07-07 20:00:00","0","0","0","0"
"165","2015-07-07 21:00:00","1","163.1464","402.5559","97.87947","40.51001","2015-07-07 21:00:00","0","0","0","0","0","2015-07-07 21:00:00","0","0","0","0"
"166","2015-07-07 22:00:00","1","180.4184","527.7007","111.82314","47.25666","2015-07-07 22:00:00","0","0","0","0","0","2015-07-07 22:00:00","0","0","0","0"
"167","2015-07-07 23:00:00","1","172.1237","420.9396","103.17601","42.83013","2015-07-07 23:00:00","1","0","0","0","0","2015-07-07 23:00:00","0","0","0","0"
